Adder: 4 A B Cin Sum Cout
=================================================================
Module: Adder
     clock          A          B        Cin        Sum       Cout : Ports
     Input      Input      Input      Input     Output     Output : Directions
     Clock    UInt<4>    UInt<4>    UInt<1>    UInt<4>       Bool : Types
=================================================================
         1          1          1          0          2          0
         2          1          1          1          3          0
         3          1          3          0          4          0
         4          1          3          1          5          0
         5          1          5          0          6          0
         6          1          5          1          7          0
         7          1          7          0          8          0
         8          1          7          1          9          0
         9          1          9          0         10          0
        10          1          9          1         11          0
        11          1         11          0         12          0
        12          1         11          1         13          0
        13          1         13          0         14          0
        14          1         13          1         15          0
        15          1         15          0          0          1
        16          1         15          1          1          1
        17          3          1          0          4          0
        18          3          1          1          5          0
        19          3          3          0          6          0
        20          3          3          1          7          0
        21          3          5          0          8          0
        22          3          5          1          9          0
        23          3          7          0         10          0
        24          3          7          1         11          0
        25          3          9          0         12          0
        26          3          9          1         13          0
        27          3         11          0         14          0
        28          3         11          1         15          0
        29          3         13          0          0          1
        30          3         13          1          1          1
        31          3         15          0          2          1
        32          3         15          1          3          1
        33          5          1          0          6          0
        34          5          1          1          7          0
        35          5          3          0          8          0
        36          5          3          1          9          0
        37          5          5          0         10          0
        38          5          5          1         11          0
        39          5          7          0         12          0
        40          5          7          1         13          0
        41          5          9          0         14          0
        42          5          9          1         15          0
        43          5         11          0          0          1
        44          5         11          1          1          1
        45          5         13          0          2          1
        46          5         13          1          3          1
        47          5         15          0          4          1
        48          5         15          1          5          1
        49          7          1          0          8          0
        50          7          1          1          9          0
        51          7          3          0         10          0
        52          7          3          1         11          0
        53          7          5          0         12          0
        54          7          5          1         13          0
        55          7          7          0         14          0
        56          7          7          1         15          0
        57          7          9          0          0          1
        58          7          9          1          1          1
        59          7         11          0          2          1
        60          7         11          1          3          1
        61          7         13          0          4          1
        62          7         13          1          5          1
        63          7         15          0          6          1
        64          7         15          1          7          1
        65          9          1          0         10          0
        66          9          1          1         11          0
        67          9          3          0         12          0
        68          9          3          1         13          0
        69          9          5          0         14          0
        70          9          5          1         15          0
        71          9          7          0          0          1
        72          9          7          1          1          1
        73          9          9          0          2          1
        74          9          9          1          3          1
        75          9         11          0          4          1
        76          9         11          1          5          1
        77          9         13          0          6          1
        78          9         13          1          7          1
        79          9         15          0          8          1
        80          9         15          1          9          1
        81         11          1          0         12          0
        82         11          1          1         13          0
        83         11          3          0         14          0
        84         11          3          1         15          0
        85         11          5          0          0          1
        86         11          5          1          1          1
        87         11          7          0          2          1
        88         11          7          1          3          1
        89         11          9          0          4          1
        90         11          9          1          5          1
        91         11         11          0          6          1
        92         11         11          1          7          1
        93         11         13          0          8          1
        94         11         13          1          9          1
        95         11         15          0         10          1
        96         11         15          1         11          1
        97         13          1          0         14          0
        98         13          1          1         15          0
        99         13          3          0          0          1
       100         13          3          1          1          1
       101         13          5          0          2          1
       102         13          5          1          3          1
       103         13          7          0          4          1
       104         13          7          1          5          1
       105         13          9          0          6          1
       106         13          9          1          7          1
       107         13         11          0          8          1
       108         13         11          1          9          1
       109         13         13          0         10          1
       110         13         13          1         11          1
       111         13         15          0         12          1
       112         13         15          1         13          1
       113         15          1          0          0          1
       114         15          1          1          1          1
       115         15          3          0          2          1
       116         15          3          1          3          1
       117         15          5          0          4          1
       118         15          5          1          5          1
       119         15          7          0          6          1
       120         15          7          1          7          1
       121         15          9          0          8          1
       122         15          9          1          9          1
       123         15         11          0         10          1
       124         15         11          1         11          1
       125         15         13          0         12          1
       126         15         13          1         13          1
       127         15         15          0         14          1
       128         15         15          1         15          1
